Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
60000.0,1.0,1818.0,5.0,5.0,1962.0,33.0,42.613882863340564,16.0,Тютюнника,25.613882863340564
165000.0,2.0,2845.0,6.0,24.0,2015.0,58.0,25.0,22.0,Маккейна,11.0
200000.0,5.0,1481.0,4.0,4.0,1917.0,135.0,42.613882863340564,15.907786885245901,Івана Мазепи,76.47833025141354
145000.0,2.0,1933.0,5.0,24.0,2007.0,75.0,44.0,14.0,Героїв Сталінграда,17.0
199000.0,3.0,2488.0,2.0,25.0,2018.0,80.0,33.0,22.0,Липківського,25.0
186117.4,1.0,3579.2,9.55521472392638,17.624233128834355,1996.3073852295408,52.0,42.613882863340564,15.907786885245901,Коновальця,6.521669748586465
199000.0,2.0,2073.0,10.0,25.0,2005.0,96.0,43.0,16.0,Коновальця,37.0
50700.0,1.0,1300.0,6.0,14.0,2019.0,39.0,25.0,8.0,Максимовича,6.0
185000.0,2.0,2256.0,5.0,21.0,2015.0,82.0,61.0,12.0,Зарічна,9.0
152000.0,2.0,1667.0,24.0,25.0,2008.0,80.16498316498317,41.0,15.907786885245901,Голосіївська,23.25719627973727
92000.0,3.0,965.0,1.0,25.0,1996.3073852295408,80.16498316498317,48.0,16.0,Ясинуватський,16.16498316498317
49387.4,1.0,881.9,9.55521472392638,17.624233128834355,1996.3073852295408,56.0,42.613882863340564,15.907786885245901,Колоса,2.521669748586465
56500.0,1.0,1749.0,5.0,7.0,2019.0,80.16498316498317,21.0,5.0,Колоса,54.16498316498317
80000.0,1.0,2105.0,11.0,21.0,2017.0,38.0,12.0,15.0,Правди,11.0
480000.0,4.0,2609.0,5.0,6.0,1915.0,184.0,108.0,34.0,Велика Васильківська,42.0
59000.0,2.0,1157.0,2.0,12.0,1981.0,51.0,42.613882863340564,15.907786885245901,Голосіївський,7.521669748586465
149632.1,1.0,3183.6,9.55521472392638,17.624233128834355,1996.3073852295408,47.0,42.613882863340564,15.907786885245901,Бойчука,11.521669748586465
147075.0,2.0,2228.0,9.0,11.0,1996.3073852295408,66.0,42.613882863340564,15.907786885245901,Бойчука,7.478330251413535
86860.0,2.0,905.0,10.0,10.0,2017.0,96.0,44.0,23.0,Центральна,29.0
97000.0,2.0,1260.0,16.0,22.0,2018.0,77.0,42.613882863340564,15.907786885245901,Ясинуватський,18.478330251413535
